logNo,date,slug,lines,len,images,hasNoise,fixed2129,reasons,title
"220967971882","2017-03-27","20170327-5월-대선전-필수-체크-누드대통령을-소개합니다","2129","84473","36","true","true","noise-pattern|fixed-2129-lines","5월 대선전 필수 체크! 누드대통령을 소개합니다."
"220952765523","2017-03-08","20170308-제4차산업혁명-융합-스타트업-그리고-대한민국","2129","84306","34","true","true","noise-pattern|fixed-2129-lines","제4차산업혁명, 융합, 스타트업, 그리고 대한민국"
"220926705067","2017-02-03","20170203-엘바이블-나만의-미니성경과-교회-프리젠테이션","2129","85502","41","true","true","noise-pattern|fixed-2129-lines","[엘바이블] 나만의 미니성경과 교회 프리젠테이션"
"220920822042","2017-01-26","20170126-미래의-vr과-ar-기술은-어떻게-변화-할-것인가","2129","84690","36","true","true","noise-pattern|fixed-2129-lines","미래의 VR과 AR 기술은 어떻게 변화 할 것인가?"
"220908442662","2017-01-11","20170111-엘바이블-소규모-교회에서-프리젠테이션-환경-구축","2129","86063","42","true","true","noise-pattern|fixed-2129-lines","[엘바이블] 소규모 교회에서 프리젠테이션  환경 구축"
"220902936212","2017-01-04","20170104-무게만큼-가벼운-용도의-요가북a-안드로이드","2129","85906","43","true","true","noise-pattern|fixed-2129-lines","무게만큼 가벼운 용도의 요가북A (안드로이드)"
"220900786345","2017-01-02","20170102-인간을-이해하고-장애인들에게도-빛이-될-가상현실-기술","2129","84496","35","true","true","noise-pattern|fixed-2129-lines","인간을 이해하고, 장애인들에게도 빛이 될 가상현실 기술"
"220889342077","2016-12-19","20161219-vr체험방이-가야-할-길","2129","84499","36","true","true","noise-pattern|fixed-2129-lines","VR체험방이 가야 할 길"
"220883760405","2016-12-12","20161212-세월호의-7시간과-영화-판도라","2129","83946","35","true","true","noise-pattern|fixed-2129-lines","세월호의 7시간과 영화 판도라"
"220872549321","2016-11-28","20161128-콘텐츠-vs-기술-포켓몬고의-교훈과-미래","2129","92422","67","true","true","noise-pattern|fixed-2129-lines","콘텐츠 vs 기술, 포켓몬고의 교훈과 미래"
"220870283746","2016-11-25","20161125-발표자료-공개-vr의-이해와-시작해보기","2129","90169","58","true","true","noise-pattern|fixed-2129-lines","[발표자료 공개] VR의 이해와 시작해보기"
"220867578789","2016-11-22","20161122-개방형-생태계-오픈소스-제대로-보기","2129","88216","50","true","true","noise-pattern|fixed-2129-lines","개방형 생태계 오픈소스 제대로 보기"
"220864375327","2016-11-17","20161117-금일-수능을-본-모든-수험생들에게","2129","84065","34","true","true","noise-pattern|fixed-2129-lines","금일 수능을 본 모든 수험생들에게"
"220857077433","2016-11-09","20161109-4차-산업혁명-과-소프트웨어-중심사회가-우리에게-의미하는것","2129","85327","38","true","true","noise-pattern|fixed-2129-lines","4차 산업혁명 과 소프트웨어 중심사회가 우리에게 의미하는것"
"220852769160","2016-11-03","20161103-최순실이-북괴보다-나쁘냐고-나빠","2129","84128","35","true","true","noise-pattern|fixed-2129-lines","최순실이 북괴보다 나쁘냐고? 나빠!"
"220849731534","2016-10-31","20161031-최순실-박근혜-게이트로-본-한국-기독교의-숙제","2129","84303","35","true","true","noise-pattern|fixed-2129-lines","최순실 (박근혜) 게이트로 본 한국 기독교의 숙제"
"220847624854","2016-10-28","20161028-썰전-mb판-미르-청년창업재단-진실은-좀-더-신중하게","2129","85405","67","true","true","noise-pattern|fixed-2129-lines","[썰전 MB판 미르 청년창업재단] 진실은 좀 더 신중하게"
"220846607698","2016-10-27","20161027-ms의-서피스-스튜디오와-299vr이-말하는것","2129","84872","37","true","true","noise-pattern|fixed-2129-lines","MS의 서피스 스튜디오와 299$VR이 말하는것"
"220838321084","2016-10-17","20161017-프로들이-말하는-sw교육-10월-sw에-물들다","2129","84480","36","true","true","noise-pattern|fixed-2129-lines","[프로들이 말하는 SW교육] 10월, SW에 물들다."
"220835920036","2016-10-14","20161014-2016-가상현실-무엇이-달라졌나-그리고-미래는","2129","84410","40","true","true","noise-pattern|fixed-2129-lines","2016 가상현실 무엇이 달라졌나? 그리고 미래는?"
"220834136857","2016-10-12","20161012-삼성전자-갤럭시노트7-철수로-잃게되는-것","2129","84282","34","true","true","noise-pattern|fixed-2129-lines","삼성전자 갤럭시노트7 철수로 잃게되는 것"
"220833241645","2016-10-11","20161011-전기자동차와-태양광-에너지-독립은-가능한가","2129","84447","35","true","true","noise-pattern|fixed-2129-lines","[전기자동차와 태양광] 에너지 독립은 가능한가?"
"220830108669","2016-10-07","20161007-오큘러스-커넥트-여기-미친-가상현실-데모가-나타났다","2129","84443","35","true","true","noise-pattern|fixed-2129-lines","[오큘러스 커넥트] 여기 미친 가상현실 데모가 나타났다."
"220828574367","2016-10-05","20161005-made-by-google이-의미하는-것","2129","84373","36","true","true","noise-pattern|fixed-2129-lines","Made by Google이 의미하는 것"
"220828040114","2016-10-04","20161004-제2회-한국블로거협회-1인미디어-컨퍼런스-무한경쟁속-성장-전략","2129","84549","55","true","true","noise-pattern|fixed-2129-lines","[제2회 한국블로거협회] 1인미디어 컨퍼런스, 무한경쟁속 성장 전략"
"220828023446","2016-10-04","20161004-강연자료-공유-소셜미디어-콘텐츠-제작으로-얻을-수-있는-기회","2129","86553","48","true","true","noise-pattern|fixed-2129-lines","[강연자료 공유] 소셜미디어 콘텐츠 제작으로 얻을 수 있는 기회"
"220822737117","2016-09-28","20160928-김영란법시작과-현대차-리콜-은폐","2129","84148","35","true","true","noise-pattern|fixed-2129-lines","김영란법시작과 현대차 리콜 은폐"
"220820938555","2016-09-26","20160926-후배컴공-대학생들을-위한-실전-소프트웨어-특강","2129","89226","66","true","true","noise-pattern|fixed-2129-lines","후배(컴공 대학생)들을 위한 실전 소프트웨어 특강"
"220808681241","2016-09-09","20160909-공공데이터-개방의-최고의-사례-호갱노노와-크레딧잡","2129","84680","37","true","true","noise-pattern|fixed-2129-lines","공공데이터 개방의 최고의 사례, 호갱노노와 크레딧잡"
"220805310466","2016-09-05","20160905-존경스럽고-무서운-마윈-회장과-중국기업","2129","84221","34","true","true","noise-pattern|fixed-2129-lines","존경스럽고 무서운 마윈 회장과 중국기업"
"220797218393","2016-08-26","20160826-홀로렌즈-체험-vr이-가고-armr이-올까","2129","84518","37","true","true","noise-pattern|fixed-2129-lines","[홀로렌즈 체험] VR이 가고 AR/MR이 올까?"
"220790544956","2016-08-18","20160818-카카오-맞춤법-검사-open-api-중단의-핵심","2129","84285","35","true","true","noise-pattern|fixed-2129-lines","카카오 맞춤법 검사 Open API 중단의 핵심"
"220784077066","2016-08-10","20160810-누진세-논란의-핵심은-비싼-전기-싼전기가-아니다","2129","84771","37","true","true","noise-pattern|fixed-2129-lines","누진세 논란의 핵심은 비싼 전기, 싼전기가 아니다"
"220783385246","2016-08-09","20160809-테슬라의-경쟁력-기가팩토리는-무엇을-의미하는가","2129","85347","42","true","true","noise-pattern|fixed-2129-lines","테슬라의 경쟁력 기가팩토리는 무엇을 의미하는가?"
"220782514128","2016-08-08","20160808-행사홍보-포켓몬고-열풍으로-보는-증강현실ar비즈니스-기회","2129","84545","35","true","true","noise-pattern|fixed-2129-lines","[행사홍보] 포켓몬고 열풍으로 보는 증강현실(AR)비즈니스 기회"
"220782303071","2016-08-08","20160808-메갈-처단이-아닌-한국-인터넷의-미래를","2129","84253","34","true","true","noise-pattern|fixed-2129-lines","메갈 처단이 아닌 한국 인터넷의 미래를"
"220774524801","2016-07-29","20160729-스마트-전력계-에너톡-우리집-에어콘-전기-얼마나-먹나-궁금할때-에너톡-220774524801","2129","86257","50","true","true","noise-pattern|fixed-2129-lines","[스마트 전력계 에너톡] 우리집 에어콘 전기 얼마나 먹나? 궁금할때 에너톡"
"220773363401","2016-07-27","20160727-메갈이-중요한게-아니다-메갈이-220773363401","2129","84205","34","true","true","noise-pattern|fixed-2129-lines","메갈이 중요한게 아니다. 메갈이"
"220772993351","2016-07-27","20160727-포켓몬go의-현재와-미래-파급효과까지-알려주마-220772993351","2129","84424","35","true","true","noise-pattern|fixed-2129-lines","포켓몬GO의 현재와 미래, 파급효과까지 알려주마"
"220772403267","2016-07-26","20160726-pc통신과-비교하면-너무도-달라진-인터넷-이대로-괜찮나","2129","84310","34","true","true","noise-pattern|fixed-2129-lines","PC통신과 비교하면 너무도 달라진 인터넷, 이대로 괜찮나"
"220771737174","2016-07-26","20160726-메갈-지지-후속과-독자를-무시한-웹툰작가에-대한-의견-220771737174","2129","84440","35","true","true","noise-pattern|fixed-2129-lines","메갈 지지 후속과 독자를 무시한 웹툰작가에 대한 의견"
"220771395000","2016-07-25","20160725-숲속얘기-커밍아웃-난-메갈을-지지한다","2125","84175","35","true","false","noise-pattern","[숲속얘기 커밍아웃] 난 메갈을 지지한다."
"220762930253","2016-07-15","20160715-우리에게-필요한건-알파고-같은-최신sw기술이-아니다-220762930253","2129","84658","38","true","true","noise-pattern|fixed-2129-lines","우리에게 필요한건 알파고 같은 최신SW기술이 아니다"
"220762468492","2016-07-14","20160714-포켓몬go-ar-vr-한국은-왜-못만들어-220762468492","2129","84300","35","true","true","noise-pattern|fixed-2129-lines","포켓몬go AR? VR? 한국은 왜 못만들어?"
"220760928774","2016-07-13","20160713-포켓몬go-를-통해본-브랜드와-시나리오의-중요성-220760928774","2129","84391","35","true","true","noise-pattern|fixed-2129-lines","포켓몬Go 를 통해본 브랜드와 시나리오의 중요성"
"220759034277","2016-07-11","20160711-후레자식-고소-웹툰은-아이들을-폭력적으로-만드는가-220759034277","2129","84405","35","true","true","noise-pattern|fixed-2129-lines","[후레자식 고소] 웹툰은 아이들을 폭력적으로 만드는가"
"220754824178","2016-07-06","20160706-후레자식-고소-청보법은-어린이-보호법이-아니다-220754824178","2129","84274","34","true","true","noise-pattern|fixed-2129-lines","[후레자식 고소] 청보법은 어린이 보호법이 아니다."
"220754075458","2016-07-05","20160705-꼰대를-벗어나는-미래-교육법-220754075458","2129","85160","38","true","true","noise-pattern|fixed-2129-lines","꼰대를 벗어나는 미래 교육법"
"220752944378","2016-07-04","20160704-후레자식을-이해-못하는-부모가-더-걱정스럽다-220752944378","2125","84237","36","true","false","noise-pattern","후레자식을 이해 못하는 부모가 더 걱정스럽다."
"220752669776","2016-07-03","20160703-가평펜션-오나르-풀빌라-가깝고-여유로운-모던함-220752669776","2129","87933","86","true","true","noise-pattern|fixed-2129-lines","가평펜션 오나르 풀빌라, 가깝고 여유로운 모던함"
"220750661582","2016-07-01","20160701-vr건강-vr-아이들에게-괜찮아요-220750661582","2129","84479","37","true","true","noise-pattern|fixed-2129-lines","[VR건강] VR 아이들에게 괜찮아요?"
"220749704386","2016-06-30","20160630-수소-자동차-vs-전기-자동차는-이미-전기의-완승-220749704386","2129","84256","34","true","true","noise-pattern|fixed-2129-lines","수소 자동차 vs 전기 자동차는 이미 전기의 완승"
"220748741304","2016-06-29","20160629-한글-중심의-공공문서-환경-전환-아이디어-220748741304","2129","84232","34","true","true","noise-pattern|fixed-2129-lines","한글 중심의 공공문서 환경 전환 아이디어"
"220748184979","2016-06-28","20160628-스포츠-교육-군사-산업-사무실까지-vr-만능-시대가-온다-220748184979","2129","84745","39","true","true","noise-pattern|fixed-2129-lines","스포츠, 교육, 군사, 산업, 사무실까지 VR 만능 시대가 온다."
"220743460716","2016-06-22","20160622-vr의-정의와-분류-그리고-360영상-220743460716","2129","84624","38","true","true","noise-pattern|fixed-2129-lines","VR의 정의와 분류, 그리고 360영상"
"220742853688","2016-06-22","20160622-모듈폰-구글-아라는-g5와는-다르다-g5와는-220742853688","2129","84371","35","true","true","noise-pattern|fixed-2129-lines","모듈폰 구글 아라는 G5와는 다르다. G5와는"
"220736703522","2016-06-15","20160615-목사님들의-과학에-대한-오류와-성경만능주의","2129","84094","34","true","true","noise-pattern|fixed-2129-lines","목사님들의 과학에 대한 오류와 성경만능주의"
"220736493938","2016-06-15","20160615-성인콘텐츠는-vr을-구원할-것인가-220736493938","2129","84610","38","true","true","noise-pattern|fixed-2129-lines","성인콘텐츠는 VR을 구원할 것인가?"
"220732280365","2016-06-10","20160610-아이들-위한-진짜-스마트-체온계-신생아-체온계로-좋은-써모케어-220732280365","2129","85816","46","true","true","noise-pattern|fixed-2129-lines","아이들 위한 진짜 스마트 체온계, 신생아 체온계로 좋은 써모케어"
"220726970034","2016-06-03","20160603-영상-통화-시-소셜-정보를-이용한-광고-제공-시스템-및-방법","2003","78947","35","true","false","noise-pattern","영상 통화 시 소셜 정보를 이용한 광고 제공 시스템 및 방법"
"220726963080","2016-06-03","20160603-특허아이디어-음성-인식을-통한-voip통화시-광고-기법","2129","84315","35","true","true","noise-pattern|fixed-2129-lines","[특허/아이디어] 음성 인식을 통한 voip통화시 광고 기법"
"220726953457","2016-06-03","20160603-아이디어특허-웹-투-앱-연동-콜-서비스-시스템","2129","84438","37","true","true","noise-pattern|fixed-2129-lines","[아이디어/특허] 웹 투 앱 연동 콜 서비스 시스템"
"220725629960","2016-06-02","20160602-경유차-화력발전중국-미세먼지의-진실-제대로된-정보-우선-220725629960","2129","84219","34","true","true","noise-pattern|fixed-2129-lines","경유차, 화력발전,중국 미세먼지의 진실. 제대로된 정보 우선"
"220724676772","2016-06-01","20160601-특허아이디어-위치-로그-서비스-이차-정보를-생성하는-위치-기반-시스템-및-방법","2129","85681","41","true","true","noise-pattern|fixed-2129-lines","[특허/아이디어] 위치 로그 서비스, 이차 정보를 생성하는 위치 기반 시스템 및 방법"
"220723915021","2016-05-31","20160531-유망-o2o-스타트업-투자-한번-해보실래요-와이퍼-크라우드펀딩-220723915021","2129","84597","36","true","true","noise-pattern|fixed-2129-lines","유망 O2O 스타트업 투자 한번 해보실래요? 와이퍼 크라우드펀딩"
"220719811873","2016-05-26","20160526-19금리뷰-샤오미-보다-보다-똑똑한-윈마이-체중계-220719811873","2129","84375","39","true","true","noise-pattern|fixed-2129-lines","[19금리뷰] 샤오미 보다 보다 똑똑한 윈마이 체중계"
"220718513194","2016-05-25","20160525-여자와-남자의-갈등은-생각보다-복잡할수도-있겠다-220718513194","2129","84343","34","true","true","noise-pattern|fixed-2129-lines","여자와 남자의 갈등은 생각보다 복잡할수도 있겠다."
"220717721682","2016-05-24","20160524-같은시장-다른전략-샤오미가-삼성전자의-진짜-위협인-이유-220717721682","2129","84594","36","true","true","noise-pattern|fixed-2129-lines","같은시장 다른전략, 샤오미가 삼성전자의 진짜 위협인 이유"
"220713448645","2016-05-19","20160519-입기획자-입개발자를-위한-변명-220713448645","2129","84545","36","true","true","noise-pattern|fixed-2129-lines","입기획자, 입개발자를 위한 변명"
"220712798935","2016-05-18","20160518-누가-더-가볍나-서피스프로4-vs-믹스700-vs-탭프로s-vs-teclast-x98-220712798935","2129","84476","35","true","true","noise-pattern|fixed-2129-lines","[누가 더 가볍나] 서피스프로4 vs 믹스700 vs 탭프로S vs Teclast X98+"
"220700308793","2016-05-03","20160503-내가-생각하는-vr의-미래-220700308793","2129","84182","34","true","true","noise-pattern|fixed-2129-lines","내가 생각하는 VR의 미래"
"220693925076","2016-04-26","20160426-지금-뜨거운-vr을-어떻게-생각하세요","2129","85570","41","true","true","noise-pattern|fixed-2129-lines","지금, 뜨거운 VR을 어떻게 생각하세요?"
"220692750342","2016-04-25","20160425-마이크로소프트-홀로렌즈가-제시하는-미래컴퓨팅-환경","2129","85217","45","true","true","noise-pattern|fixed-2129-lines","마이크로소프트 홀로렌즈가 제시하는 미래컴퓨팅 환경"
"220689225490","2016-04-21","20160421-한국형에-대한-집착을-버려-tmax-os-220689225490","2129","84142","34","true","true","noise-pattern|fixed-2129-lines","한국형에 대한 집착을 버려. Tmax OS"
"220674376219","2016-04-04","20160404-네이버-신의한수-네이버페이-체크카드-220674376219","2129","84144","34","true","true","noise-pattern|fixed-2129-lines","네이버 신의한수, 네이버페이 체크카드"
"220665112755","2016-03-25","20160325-vrar-qna-220665112755","2129","83912","34","true","true","noise-pattern|fixed-2129-lines","VR/AR QnA"
"220633439467","2016-02-21","20160221-국론분열보다-무서운-전쟁광기-220633439467","2129","84101","34","true","true","noise-pattern|fixed-2129-lines","국론분열보다 무서운 전쟁광기"
"220615885232","2016-02-02","20160202-싸이월드의-실패는-플랫폼전략-때문이다-220615885232","2129","84136","34","true","true","noise-pattern|fixed-2129-lines","싸이월드의 실패는 플랫폼전략 때문이다?"
"220610220477","2016-01-27","20160127-응답하지-않는-싸이월드-무엇이-문제인가-220610220477","2129","84175","34","true","true","noise-pattern|fixed-2129-lines","응답하지 않는 싸이월드 무엇이 문제인가?"
"220595023099","2016-01-12","20160112-e북과-스마트폰을-하나로-미디어패드-x2-220595023099","2129","84276","38","true","true","noise-pattern|fixed-2129-lines","e북과 스마트폰을 하나로, 미디어패드 X2"
"220588844184","2016-01-06","20160106-장난감-같지-않은-장난감-중국산-키즈-태블릿-rk3126-220588844184","2129","86164","50","true","true","noise-pattern|fixed-2129-lines","장난감 같지 않은 장난감, 중국산 키즈 태블릿 RK3126"
"220586094623","2016-01-03","20160103-10년후-한국부동산아파트를-예측해보다","2129","84275","34","true","true","noise-pattern|fixed-2129-lines","10년후 한국부동산(아파트)를 예측해보다"
"220541402960","2015-11-17","20151117-민주총궐기대회-진보의-전략개선이-필요하다-220541402960","2129","84257","35","true","true","noise-pattern|fixed-2129-lines","[민주총궐기대회] 진보의 전략개선이 필요하다"
